sample_id,trip_id,species_code,length_cm,weight_kg,sex,measure_date
S0126,T2024-040,BET,153.3,100.13,M,2024-12-18
S0127,T2024-040,SKJ,35.0,0.73,F,2024-12-18
S0128,T2024-041,YFT,59.0,4.56,F,2024-05-12
S0129,T2024-041,ALB,92.2,15.02,U,2024-05-12
S0130,T2024-041,ALB,75.2,9.22,F,2024-05-12
S0131,T2024-041,SKJ,87.8,15.42,F,2024-05-12
S0132,T2024-042,YFT,106.9,27.12,F,2024-04-12
S0133,T2024-042,BET,64.1,8.55,F,2024-04-12
S0134,T2024-043,ALB,76.1,8.4,U,2024-03-25
S0135,T2024-043,ALB,52.3,2.66,U,2024-03-25
S0136,T2024-043,BET,104.2,33.8,M,2024-03-25
S0137,T2024-043,BET,37.4,1.59,F,2024-03-25
S0138,T2024-043,ALB,39.7,1.28,F,2024-03-25
S0139,T2024-044,ALB,81.1,10.94,F,2024-04-12
S0140,T2024-044,YFT,53.1,3.34,F,2024-04-12
S0141,T2024-044,SKJ,101.4,27.51,F,2024-04-12
S0142,T2024-044,ALB,106.7,27.4,M,2024-04-12
S0143,T2024-045,ALB,60.8,4.59,U,2024-02-11
S0144,T2024-045,BET,70.8,10.03,F,2024-02-11
S0145,T2024-047,BET,136.5,80.13,F,2024-12-20
S0146,T2024-047,ALB,86.0,13.88,U,2024-12-20
S0147,T2024-048,ALB,102.4,22.11,F,2024-04-19
S0148,T2024-048,YFT,127.3,50.43,M,2024-04-19
S0149,T2024-048,YFT,91.4,16.5,F,2024-04-19
S0150,T2024-048,BET,156.6,102.78,F,2024-04-19
S0151,T2024-049,ALB,71.7,7.92,U,2024-12-27
S0152,T2024-049,YFT,94.8,17.78,U,2024-12-27
S0153,T2024-049,SKJ,100.6,28.97,F,2024-12-27
S0154,T2024-049,YFT,145.6,63.94,U,2024-12-27
S0155,T2024-052,SKJ,60.3,5.25,F,2024-02-04
S0156,T2024-052,SKJ,69.4,7.44,U,2024-02-04
S0157,T2024-052,BET,71.3,11.2,U,2024-02-04
S0158,T2024-052,YFT,36.5,1.21,M,2024-02-04
S0159,T2024-053,BET,64.2,7.34,M,2024-04-28
S0160,T2024-053,ALB,92.6,17.14,U,2024-04-28
S0161,T2024-054,BET,79.3,14.42,F,2024-05-14
S0162,T2024-054,YFT,71.8,9.33,U,2024-05-14
S0163,T2024-054,BET,46.0,3.08,F,2024-05-14
S0164,T2024-055,YFT,127.3,49.38,U,2024-11-24
S0165,T2024-055,ALB,102.2,20.79,F,2024-11-24
S0166,T2024-055,SKJ,76.8,11.94,M,2024-11-24
S0167,T2024-055,ALB,77.0,9.26,U,2024-11-24
S0168,T2024-055,BET,127.9,63.68,F,2024-11-24
S0169,T2024-057,SKJ,87.5,15.72,U,2024-05-21
S0170,T2024-057,BET,135.9,72.04,U,2024-05-21
S0171,T2024-058,ALB,85.0,11.34,F,2024-02-22
S0172,T2024-058,SKJ,55.6,4.05,F,2024-02-22
S0173,T2024-058,ALB,42.6,1.6,F,2024-02-22
S0174,T2024-058,BET,73.2,11.35,F,2024-02-22
S0175,T2024-058,BET,151.2,96.85,F,2024-02-22
S0176,T2024-059,YFT,126.5,50.06,U,2024-10-05
S0177,T2024-059,ALB,64.1,5.42,F,2024-10-05
S0178,T2024-060,YFT,130.9,51.35,F,2024-02-18
S0179,T2024-060,YFT,49.3,2.84,U,2024-02-18
S0180,T2024-060,YFT,153.0,79.69,U,2024-02-18
S0181,T2024-060,SKJ,71.9,7.9,M,2024-02-18
S0182,T2024-061,BET,154.5,114.2,U,2024-11-25
S0183,T2024-061,ALB,78.0,10.16,F,2024-11-25
S0184,T2024-062,ALB,107.2,24.04,U,2024-02-19
S0185,T2024-062,ALB,108.6,28.01,F,2024-02-19
S0186,T2024-062,YFT,104.3,26.16,F,2024-02-19
S0187,T2024-062,YFT,97.5,19.95,M,2024-02-19
S0188,T2024-062,BET,60.8,6.63,F,2024-02-19
S0189,T2024-063,ALB,71.7,7.27,F,2024-11-10
S0190,T2024-063,YFT,57.4,4.26,U,2024-11-10
S0191,T2024-063,YFT,53.7,3.89,M,2024-11-10
S0192,T2024-063,BET,122.6,57.38,M,2024-11-10
S0193,T2024-065,ALB,87.4,14.74,U,2024-05-25
S0194,T2024-065,ALB,113.3,29.46,M,2024-05-25
S0195,T2024-065,BET,123.2,58.01,U,2024-05-25
S0196,T2024-066,YFT,84.9,13.14,M,2024-11-22
S0197,T2024-066,SKJ,57.2,4.24,M,2024-11-22
S0198,T2024-067,YFT,126.1,45.41,U,2024-03-17
S0199,T2024-067,SKJ,96.6,22.66,M,2024-03-17
S0200,T2024-067,YFT,79.4,11.81,U,2024-03-17
S0201,T2024-068,ALB,80.4,10.25,F,2024-06-24
S0202,T2024-068,SKJ,84.5,15.74,M,2024-06-24
S0203,T2024-068,ALB,107.6,24.63,M,2024-06-24
S0204,T2024-069,ALB,116.4,29.92,F,2024-03-08
S0205,T2024-069,ALB,59.9,4.22,F,2024-03-08
S0206,T2024-069,SKJ,96.5,24.56,F,2024-03-08
S0207,T2024-070,BET,68.9,8.86,U,2024-01-04
S0208,T2024-070,YFT,143.3,70.49,M,2024-01-04
S0209,T2024-070,ALB,116.6,32.03,F,2024-01-04
S0210,T2024-070,YFT,106.1,28.06,M,2024-01-04
S0211,T2024-071,BET,43.5,2.53,U,2024-03-23
S0212,T2024-071,YFT,80.0,11.52,M,2024-03-23
S0213,T2024-071,ALB,40.6,1.28,M,2024-03-23
S0214,T2024-071,BET,142.6,77.2,F,2024-03-23
S0215,T2024-072,YFT,101.2,24.27,U,2024-04-11
S0216,T2024-072,BET,139.0,72.72,M,2024-04-11
S0217,T2024-072,ALB,60.1,4.42,M,2024-04-11
S0218,T2024-074,ALB,71.2,6.52,U,2024-03-03
S0219,T2024-074,BET,132.7,61.55,U,2024-03-03
S0220,T2024-074,YFT,138.4,54.48,M,2024-03-03
S0221,T2024-074,YFT,69.9,8.59,F,2024-03-03
S0222,T2024-075,BET,105.1,36.73,F,2024-02-20
S0223,T2024-075,SKJ,93.5,21.72,U,2024-02-20
S0224,T2024-075,ALB,61.7,5.02,U,2024-02-20
S0225,T2024-077,SKJ,39.9,1.11,F,2024-10-14
S0226,T2024-077,SKJ,75.7,10.89,F,2024-10-14
S0227,T2024-078,YFT,120.5,37.29,U,2024-02-08
S0228,T2024-078,YFT,124.3,40.94,M,2024-02-08
S0229,T2024-078,SKJ,84.8,13.7,M,2024-02-08
S0230,T2024-078,ALB,87.7,13.38,M,2024-02-08
S0231,T2024-079,ALB,57.2,3.99,M,2024-04-03
S0232,T2024-079,YFT,99.8,22.36,M,2024-04-03
S0233,T2024-079,ALB,85.6,12.45,M,2024-04-03
S0234,T2024-079,ALB,53.9,3.23,U,2024-04-03
S0235,T2024-080,SKJ,50.0,2.7,U,2024-05-07
S0236,T2024-080,ALB,45.7,1.87,U,2024-05-07
S0237,T2024-081,BET,61.5,7.68,M,2024-01-05
S0238,T2024-081,ALB,81.3,10.89,M,2024-01-05
S0239,T2024-081,ALB,59.3,3.95,M,2024-01-05
S0240,T2024-081,YFT,59.1,5.11,M,2024-01-05
S0241,T2024-081,ALB,92.1,15.71,M,2024-01-05
S0242,T2024-082,SKJ,60.8,5.26,U,2024-01-03
S0243,T2024-082,YFT,82.8,12.32,M,2024-01-03
S0244,T2024-082,BET,106.0,31.94,F,2024-01-03
S0245,T2024-083,ALB,46.4,1.8,F,2024-10-03
S0246,T2024-083,BET,98.3,25.2,M,2024-10-03
S0247,T2024-083,YFT,112.5,31.51,U,2024-10-03
S0248,T2024-084,BET,112.1,43.17,U,2024-06-16
S0249,T2024-084,SKJ,103.1,30.16,M,2024-06-16
S0250,T2024-084,YFT,114.6,34.17,M,2024-06-16
S0251,T2024-085,SKJ,47.7,2.04,F,2024-11-28
S0252,T2024-085,SKJ,90.2,16.92,U,2024-11-28
S0253,T2024-085,SKJ,108.2,31.32,U,2024-11-28
S0254,T2024-085,BET,159.7,118.02,U,2024-11-28
S0255,T2024-085,ALB,114.2,31.69,M,2024-11-28
S0256,T2024-087,YFT,107.2,30.66,M,2024-11-16
S0257,T2024-087,YFT,126.1,46.63,M,2024-11-16
S0258,T2024-088,YFT,80.0,11.33,M,2024-04-10
S0259,T2024-088,SKJ,63.2,5.84,U,2024-04-10
S0260,T2024-090,ALB,67.5,6.43,U,2024-04-08
S0261,T2024-090,ALB,113.7,33.73,U,2024-04-08
